text,domain,intent
can you walk me through setting up direct deposits to my bank of internet savings account,work,direct_deposit
i want to switch to direct deposit,work,direct_deposit
set up direct deposit for me,work,direct_deposit
how do i go about setting up direct deposit,work,direct_deposit
i need to get my paycheck direct deposited to my chase account,work,direct_deposit
what are the steps to set up direct deposit to my chase account,work,direct_deposit
"if i would like to set up direct deposit, how do i do it",work,direct_deposit
how do i direct deposit my check,work,direct_deposit
what do i need to set up direct deposit,work,direct_deposit
i'd like to have my paycheck direct deposited to my chase account,work,direct_deposit
how is a direct deposit set up,work,direct_deposit
"can you teach me how to set up direct deposit, or show me who can",work,direct_deposit
how can i turn on direct deposit,work,direct_deposit
direct deposit information,work,direct_deposit
i want to set up direct deposit to my first hawaiian bank account,work,direct_deposit
can you tell me how to set up a direct deposit,work,direct_deposit
i'd like to know about setting up direct deposit,work,direct_deposit
tell me how to set up direct deposit,work,direct_deposit
tell me how to set up direct deposit for my paycheck,work,direct_deposit
help setting up direct deposit,work,direct_deposit
please help me set up direct deposit,work,direct_deposit
how can i have my paycheck directly deposited,work,direct_deposit
what do i do to have my paycheck deposited directly in my account,work,direct_deposit
how do i get direct deposit set up,work,direct_deposit
make it so my paycheck goes directly into my savings account,work,direct_deposit
"i want to set up direct deposit for my paycheck, what do i need to do",work,direct_deposit
what is needed for setting up direct deposit,work,direct_deposit
set up a direct deposit,work,direct_deposit
tell me how to set up a direct deposit,work,direct_deposit
how do i set up direct deposit for my paycheck,work,direct_deposit
i need some guidance when it comes to direct deposit,work,direct_deposit
how do i set up instant paycheck,work,direct_deposit
i'd really like to set up a direct deposit for my paycheck,work,direct_deposit
how do i set up direct deposit to my chase account,work,direct_deposit
would you help me set up direct deposit,work,direct_deposit
how do i arrange a direct deposit into my savings account,work,direct_deposit
i need to set up a direct deposit for my paycheck,work,direct_deposit
i need to set up a direct deposit,work,direct_deposit
how do i get my check directly deposited,work,direct_deposit
how can i have my paycheck directly deposited in my account,work,direct_deposit
how do i direct deposit my paycheck,work,direct_deposit
is there a specific way to set up direct deposit,work,direct_deposit
set up direct deposit to my money market account for my pay check,work,direct_deposit
can you tell me how to set up direct depost,work,direct_deposit
can you show me how to set up direct deposit for my paycheck to my first hawaiian bank account,work,direct_deposit
